"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT19","WT21","WV03","WV20"
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-01","13.87",,"0.00","0.0","0.0",,"64","43",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-02","12.97",,"0.00","0.0","0.0",,"66","49",,,,,,,,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-03","10.51",,"0.00","0.0","0.0",,"65","48",,,,,,,,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-04","9.40",,"0.00","0.0","0.0",,"65","44",,,,,,"    1",,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-05","9.62",,"0.00","0.0","0.0",,"67","38",,,,,,"    1",,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-06","6.93",,"0.00","0.0","0.0",,"67","41",,,,,,"    1",,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-07","7.61",,"0.00","0.0","0.0",,"70","45",,,,,,"    1","    1",,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-08","8.28",,"0.00","0.0","0.0",,"67","42",,,,,,"    1",,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-09","9.40",,"0.00","0.0","0.0",,"73","46",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-10","11.41",,"0.20","0.0","0.0",,"74","67",,,,,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-11","13.20",,"0.00","0.0","0.0",,"69","47",,,,,,,,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-12","9.17",,"0.00","0.0","0.0",,"60","46",,,,,,"    1",,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-13","11.41",,"0.00","0.0","0.0",,"68","54",,,,,,"    1",,,,,"    1",,,,,"    1",,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-14","14.32",,"0.00","0.0","0.0",,"64","54",,,,,,"    1",,,,,"    1",,,,,"    1",,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-15","10.74",,"0.00","0.0","0.0",,"68","53",,,,,,"    1","    1",,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-16","4.92",,"0.00","0.0","0.0",,"65","57",,,,,,"    1","    1",,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-17","3.13",,"0.00","0.0","0.0",,"78","58",,,,,,"    1",,,,,"    1",,,,,"    1",,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-18","4.03",,"0.00","0.0","0.0",,"82","62",,,,,,"    1","    1",,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-19","6.49",,"0.00","0.0","0.0",,"75","57",,,,,,"    1","    1",,,,"    1",,,,,"    1","    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-20","7.83",,"0.44","0.0","0.0",,"61","56",,,,,,"    1",,,,,"    1",,,,,"    1","    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-21","11.86",,"0.12","0.0","0.0",,"59","46",,,,,,"    1",,,,,"    1",,,,,"    1","    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-22","14.99",,"0.07","0.0","0.0",,"70","53",,,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-23","13.65",,"0.02","0.0","0.0",,"74","63",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-24","11.86",,"0.00","0.0","0.0",,"80","65",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-25","8.72",,"0.38","0.0","0.0",,"82","61",,,,,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-26","7.38",,"0.00","0.0","0.0",,"81","62",,,,,,"    1","    1",,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-27","11.41",,"0.36","0.0","0.0",,"81","61",,,,,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-28","9.62",,"0.00","0.0","0.0",,"71","50",,,,,,"    1",,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-29","7.61",,"0.00","0.0","0.0",,"72","48",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-30","6.49",,"0.00","0.0","0.0",,"73","43",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-01-31","9.17",,"0.00","0.0","0.0",,"63","43",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-01","10.29",,"0.00","0.0","0.0",,"64","40",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-02","6.93",,"0.00","0.0","0.0",,"72","50",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-03","4.92",,"0.23","0.0","0.0",,"78","55",,,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-04","11.18",,"0.00","0.0","0.0",,"80","60",,,,,,"    1",,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-05","9.62",,"0.00","0.0","0.0",,"71","50",,,,,,"    1",,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-06","9.62",,"0.00","0.0","0.0",,"63","43",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-07","8.50",,"0.00","0.0","0.0",,"57","36",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-08","10.74",,"0.00","0.0","0.0",,"67","42",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-09","10.74",,"0.00","0.0","0.0",,"68","59",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-10","10.29",,"0.00","0.0","0.0",,"71","58",,,,,,,,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-11","9.40",,"0.00","0.0","0.0",,"74","63",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-12","13.65",,"0.02","0.0","0.0",,"73","63",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-13","11.18",,"0.04","0.0","0.0",,"74","65",,,,,,,,,,,,,,,,"    1","    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-14","5.14",,"0.00","0.0","0.0",,"74","58",,,,,,"    1","    1",,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-15","6.71",,"0.00","0.0","0.0",,"74","55",,,,,,"    1","    1",,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-16","4.92",,"0.00","0.0","0.0",,"75","53",,,,,,"    1",,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-17","5.59",,"0.00","0.0","0.0",,"74","50",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-18","6.71",,"0.00","0.0","0.0",,"77","51",,,,,,"    1","    1",,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-19","8.28",,"0.00","0.0","0.0",,"80","59",,,,,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-20","5.59",,"0.08","0.0","0.0",,"81","65",,,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-21","4.92",,"0.00","0.0","0.0",,"76","64",,,,,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-22","7.16",,"1.40","0.0","0.0",,"78","64",,,,,,"    1",,"    1",,,,,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-23","10.29",,"0.79","0.0","0.0",,"69","52",,,,,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-24","4.70",,"0.00","0.0","0.0",,"70","42",,,,,,"    1",,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-25","6.04",,"0.00","0.0","0.0",,"72","55",,,,,,,,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-26","7.83",,"0.00","0.0","0.0",,"75","51",,,,,,"    1",,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-27","13.20",,"1.83","0.0","0.0",,"83","66",,,,,,"    1",,"    1",,,"    1",,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-28","15.21",,"0.40","0.0","0.0",,"66","49",,,,,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-02-29","14.54",,"0.00","0.0","0.0",,"58","41",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-03-01","8.95",,"0.00","0.0","0.0",,"58","37",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-03-02","5.14",,"0.00","0.0","0.0",,"65","36",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-03-03","5.37",,"0.00","0.0","0.0",,"67","44",,,,,,,,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-03-04","9.40",,"0.00","0.0","0.0",,"76","53",,,,,,"    1",,,,,"    1",,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-03-05","14.09",,"0.00","0.0","0.0",,"80","66",,,,,,,,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-03-06","12.53",,"0.00","0.0","0.0",,"86","67",,,,,,"    1",,,,,,,,,,,,,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-03-07","12.08",,"0.37","0.0","0.0",,"73","55",,,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00012843","VERO BEACH INTERNATIONAL AIRPORT, FL US","1984-03-08","11.41",,"0.00","0.0","0.0",,"66","49",,,,,,,,,,,"    1",,,,,,,,,,
