"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2025","474.70","474.30","488.00","465.35","3.41K","-0.29%"
"01/19/2025","476.10","484.65","501.80","476.10","2.83K","-0.67%"
"01/12/2025","479.30","486.45","486.45","461.20","4.83K","-3.05%"
"01/05/2025","494.40","525.00","525.00","494.40","0.04K","-2.28%"
"12/29/2024","505.95","507.65","507.65","494.00","0.11K","0.81%"
"12/22/2024","501.90","527.60","527.60","495.10","1.53K","-5.11%"
"12/15/2024","528.95","512.75","551.10","511.45","6.08K","3.13%"
"12/08/2024","512.90","501.15","516.00","488.00","6.24K","1.77%"
"12/01/2024","504.00","503.10","516.00","486.40","3.67K","0.65%"
"11/24/2024","500.75","503.55","533.05","494.05","2.86K","-0.92%"
"11/17/2024","505.40","477.35","514.00","469.65","4.17K","5.24%"
"11/10/2024","480.25","473.50","487.00","466.10","2.99K","-8.81%"
"11/03/2024","526.65","529.00","529.00","512.00","0.04K","-3.15%"
"10/27/2024","543.80","530.50","542.00","500.00","0.73K","3.41%"
"10/20/2024","525.85","474.00","526.95","472.65","3.67K","9.55%"
"10/13/2024","480.00","479.80","509.60","473.85","6.93K","0.17%"
"10/06/2024","479.20","472.50","491.25","457.60","5.73K","2.25%"
"09/29/2024","468.65","473.60","481.00","454.15","3.72K","-0.33%"
"09/22/2024","470.20","491.85","491.85","467.00","3.90K","-4.21%"
"09/15/2024","490.85","483.10","497.00","474.00","2.64K","1.60%"
"09/08/2024","483.10","579.50","589.00","471.75","1.78K","-13.03%"
"09/01/2024","555.50","504.05","526.85","499.50","0.02K","11.86%"
"08/25/2024","496.60","505.95","525.15","452.40","1.68K","-1.78%"
"08/18/2024","505.60","460.20","514.65","438.80","4.58K","10.57%"
"08/11/2024","457.25","422.00","460.15","420.20","5.22K","8.17%"
"08/04/2024","422.70","417.85","448.90","414.30","5.43K","-0.06%"
"07/28/2024","422.95","434.55","434.80","417.20","3.13K","-2.50%"
"07/21/2024","433.80","433.20","446.50","419.20","4.04K","0.14%"
"07/14/2024","433.20","450.65","454.60","425.00","3.21K","-3.69%"
"07/07/2024","449.80","461.00","483.45","432.25","0.93K","1.19%"
"06/30/2024","444.50","430.00","456.40","420.00","0.21K","2.73%"
"06/23/2024","432.70","425.65","440.50","418.25","1.96K","1.13%"
